Loaded 1882 packets from Packets/EQemu2.pcapng.
Packet#	Optcode	Length	First 10 Bytes			Time
0	0xa5fc	29	fc a5 7d b2 00 00 00 00 80 76	1745789164.035173877
1	0x300	55	00 03 5a 58 09 93 fa 53 bb 88	1745789164.196903687
2	0x300	80	00 03 5a 78 9c d3 64 e0 64 d2	1745789164.230035351
5	0x1500	18	00 15 a5 02 2a 6c 8d 00 00 00	1745789164.261095293
7	0x300	38	00 03 5a 58 09 93 fa 53 bb 88	1745789164.436261245
8	0x4553	35	53 45 41 52 43 48 20 42 53 44	1745789164.509281559
9	0xa5fc	29	fc a5 7d bc 00 00 00 00 b0 41	1745789164.616440516
10	0x300	41	00 03 5a 58 09 93 fa 53 bb 81	1745789164.875111317
11	0x300	55	00 03 5a 58 09 93 fa 53 3b 87	1745789164.940681303
12	0x300	41	00 03 5a 58 09 93 fa 53 bb 89	1745789165.005075265
13	0x300	66	00 03 5a 58 09 93 fa 53 3b 87	1745789165.069996945
18	0x300	73	00 03 5a 78 9c 93 60 e0 64 d2	1745789165.220277125
21	0x1500	18	00 15 a5 02 2b 5c 1b 00 00 00	1745789165.245950037
22	0xa5fc	29	fc a5 7d a3 00 00 00 00 60 41	1745789165.358998559
23	0x300	43	00 03 5a 58 09 93 fa 53 bb 98	1745789165.45601201
24	0x300	43	00 03 5a 58 09 93 fa 53 bb 87	1745789165.648470468
25	0xa5fc	29	fc a5 7d bc 00 00 00 00 c0 41	1745789165.794344442
26	0xa5fc	29	fc a5 7d bc 00 00 00 00 c0 41	1745789165.826526441
31	0xa5fc	29	fc a5 7d ca 00 00 00 00 00 06	1745789166.084462826
32	0xa5fc	29	fc a5 7d 9c 00 00 00 00 30 61	1745789166.116960039
33	0x300	62	00 03 5a 58 09 93 fa 53 3b 87	1745789166.213860546
34	0x300	80	00 03 5a 78 9c d3 64 e0 64 d2	1745789166.227692461
35	0x1500	18	00 15 a5 02 2c c9 b8 00 00 00	1745789166.261856663
38	0xa5fc	29	fc a5 7d a3 00 00 00 00 e0 3d	1745789166.471570456
41	0x300	44	00 03 5a 58 09 93 fa 53 bb 98	1745789166.600894485
42	0x29ff	43	ff 29 01 00 00 01 00 00 00 00	1745789166.656402203
43	0x106f	43	6f 10 01 00 00 01 00 00 00 00	1745789166.656476255
44	0x29ff	71	ff 29 81 80 00 01 00 01 00 00	1745789166.678500561
45	0x106f	59	6f 10 81 80 00 01 00 01 00 00	1745789166.683389302
46	0xc1	1230	c1 00 00 00 01 08 d7 d5 22 22	1745789166.684464516
47	0xc9	1230	c9 00 00 00 01 08 d7 d5 22 22	1745789166.684491657
48	0xcf	1230	cf 00 00 00 01 08 d7 d5 22 22	1745789166.684508882
49	0xdf	77	df 00 00 00 01 08 d7 d5 22 22	1745789166.68465439
50	0xc2	40	c2 00 00 00 01 00 08 f7 d5 22	1745789166.725736921
51	0xc2	40	c2 00 00 00 01 00 08 f7 d5 22	1745789166.725738628
52	0xc3	1230	c3 00 00 00 01 00 08 f7 d5 22	1745789166.726686784
53	0xc2	1230	c2 00 00 00 01 00 08 f7 d5 22	1745789166.727424833
54	0xcc	1230	cc 00 00 00 01 00 08 f7 d5 22	1745789166.733846901
55	0xe5	299	e5 00 00 00 01 00 08 f7 d5 22	1745789166.73384701
56	0xee	78	ee 00 00 00 01 08 f7 d5 22 22	1745789166.734332093
57	0x7f46	931	46 7f 96 cb 8d 3e 92 70 b7 01	1745789166.73439802
58	0xe155	34	55 e1 b7 17 3f 29 68 51 5b ac	1745789166.734520588
59	0xf75c	1226	5c f7 d5 22 22 b7 23 07 af af	1745789166.734527325
60	0xf755	1230	55 f7 d5 22 22 b7 23 07 af 8b	1745789166.734540891
61	0xf740	490	40 f7 d5 22 22 b7 23 07 af 31	1745789166.734564308
62	0xf753	83	53 f7 d5 22 22 b7 23 07 af 95	1745789166.734570924
63	0xf758	31	58 f7 d5 22 22 b7 23 07 af 26	1745789166.734635256
64	0xd64e	24	4e d6 4f 0b 53 5c df 6c ae 23	1745789166.752947077
65	0x395e	120	5e 39 7c 7c df c9 50 08 00 e5	1745789166.760757445
66	0x354	25	54 03 0d 8f 4c 4b d6 9a 6b 8d	1745789166.760757594
67	0xd14f	25	4f d1 be 85 ce e3 cc 76 ec 86	1745789166.760757628
68	0xc04d	25	4d c0 11 81 e0 08 2a c2 49 a1	1745789166.76075766
69	0xd658	29	58 d6 d4 93 d8 fd 53 89 ce 21	1745789166.764582258
70	0xf74b	31	4b f7 d5 22 22 b7 23 07 af 5e	1745789166.764739808
71	0x1854	482	54 18 ad 1a 25 07 9e 28 38 3f	1745789166.775641076
72	0x5e47	21	47 5e 38 26 7c 55 4c bf 39 84	1745789166.776251484
73	0xf742	35	42 f7 d5 22 22 b7 23 07 af 3e	1745789166.777148486
74	0x974a	24	4a 97 0d f4 09 86 42 97 5c 65	1745789166.828037013
75	0xa5fc	29	fc a5 7d 9c 00 00 00 00 70 65	1745789167.214729849
76	0x300	73	00 03 5a 78 9c 93 60 e0 64 d2	1745789167.238017985
77	0x300	44	00 03 5a 58 09 93 fa 53 3b 87	1745789167.246760032
78	0x1500	18	00 15 a5 02 2d f9 2e 00 00 00	1745789167.262498097
79	0xa5fc	29	fc a5 7d ca 00 00 00 00 90 08	1745789167.376000056
80	0x4553	35	53 45 41 52 43 48 20 42 53 44	1745789167.477183761
81	0xa5fc	29	fc a5 7d 9c 00 00 00 00 d0 67	1745789167.827808549
82	0xa5fc	29	fc a5 7d bc 00 00 00 00 70 42	1745789167.860053976
83	0x300	61	00 03 5a 58 09 93 fa 53 bb 98	1745789167.894744138
84	0xa5fc	29	fc a5 7d 9a 00 00 00 00 40 59	1745789167.924855042
85	0x300	44	00 03 5a 58 09 93 fa 53 bb 98	1745789168.020857375
86	0x300	73	00 03 5a 78 9c 93 60 e0 64 d2	1745789168.251623845
87	0x1500	18	00 15 a5 02 2e a8 94 00 00 00	1745789168.277669533
92	0xa5fc	29	fc a5 7d a3 00 00 00 00 40 38	1745789168.375481532
95	0x300	41	00 03 5a 58 09 93 fa 53 7b 8a	1745789168.439576438
96	0xa5fc	29	fc a5 7d ca 00 00 00 00 00 08	1745789168.697032864
97	0x300	38	00 03 5a 58 09 93 fa 53 7b 8a	1745789168.794443378
98	0x300	64	00 03 5a 58 09 93 fa 53 3b 87	1745789168.858888876
99	0xa5fc	29	fc a5 7d b0 00 00 00 00 10 43	1745789168.971887874
100	0x300	44	00 03 5a 58 09 93 fa 53 bb 81	1745789169.036823852
101	0x300	53	00 03 5a 58 09 93 fa 53 bb 81	1745789169.198212947
102	0x300	73	00 03 5a 78 9c 93 60 e0 64 d2	1745789169.268862574
103	0x300	37	00 03 a5 04 00 15 02 2f 1a fc	1745789169.2948073
104	0x300	44	00 03 5a 58 09 93 fa 53 bb 98	1745789169.326615265
105	0x300	44	00 03 5a 58 09 93 fa 53 bb 81	1745789169.552553086
106	0x300	41	00 03 5a 58 09 93 fa 53 7b 92	1745789169.618974593
107	0xa5fc	29	fc a5 7d b0 00 00 00 00 c0 42	1745789169.714855891
111	0x300	44	00 03 5a 58 09 93 fa 53 bb 88	1745789169.877003574
112	0xa5fc	29	fc a5 7d b2 00 00 00 00 00 62	1745789170.008003048
113	0x300	41	00 03 5a 58 09 93 fa 53 bb 81	1745789170.069577834
116	0xa5fc	29	fc a5 7d b0 00 00 00 00 b0 42	1745789170.134332201
117	0x300	80	00 03 5a 78 9c d3 64 e0 64 32	1745789170.260704625
118	0x300	37	00 03 a5 04 00 15 02 30 1a fc	1745789170.295408004
119	0x300	43	00 03 5a 58 09 93 fa 53 bb 87	1745789170.328031465
120	0xa5fc	29	fc a5 7d a3 00 00 00 00 20 3c	1745789170.488133673
121	0x4553	35	53 45 41 52 43 48 20 42 53 44	1745789170.549407346
122	0xa5fc	29	fc a5 7d a3 00 00 00 00 20 3c	1745789170.584861912
123	0x600	4	00 06 5a ca	1745789170.803139041
124	0xa5fc	29	fc a5 7d c9 00 00 00 00 30 64	1745789170.810653204
125	0x300	56	00 03 5a 58 09 93 fa 53 bb 87	1745789170.843478915
130	0x300	95	00 03 5a 78 9c e3 62 e0 64 32	1745789171.26091093
131	0x300	20	00 03 a5 04 00 15 02 31 04 00	1745789171.297908899
132	0x300	22	00 03 a5 05 b1 37 b0 00 64 0a	1745789171.312214902
135	0x900	18	00 09 a5 03 1a 72 02 00 00 00	1745789171.328655154
136	0x300	44	00 03 5a 58 09 93 fa 53 bb 81	1745789171.40938033
137	0x300	59	00 03 a5 04 00 15 03 1a 30 fc	1745789171.490695535
138	0xa5fc	29	fc a5 7d a3 00 00 00 00 90 3f	1745789171.603048475
139	0x300	41	00 03 5a 58 09 93 fa 53 bb 98	1745789171.732486648
140	0x600	18	00 06 5a ca 00 00 00 00 00 00	1745789171.859490041
141	0xa5fc	29	fc a5 7d c9 00 00 00 00 a0 69	1745789171.865884173
142	0x300	41	00 03 5a 58 09 93 fa 53 bb 87	1745789171.894913664
143	0x300	44	00 03 5a 58 09 93 fa 53 7b 92	1745789171.993043421
144	0x300	54	00 03 5a 58 09 93 fa 53 bb 87	1745789172.060729493
145	0x300	64	00 03 5a 58 09 93 fa 53 bb 87	1745789172.135068298
146	0x300	79	00 03 a5 30 fc 7d 54 15 38 01	1745789172.215950586
147	0x300	37	00 03 a5 1a fc 7d ca 00 00 00	1745789172.249546942
148	0x900	18	00 09 a5 03 1b bc 16 00 00 00	1745789172.288157593
149	0x900	18	00 09 a5 03 1b bc 16 00 00 00	1745789172.297854979
151	0x300	59	00 03 a5 04 00 15 03 1b 30 fc	1745789172.46281599
157	0x300	54	00 03 5a 58 09 93 fa 53 3b 87	1745789172.70227051
158	0x300	41	00 03 5a 58 09 93 fa 53 3b 87	1745789172.89398068
159	0xa5fc	29	fc a5 7d a3 00 00 00 00 f0 43	1745789173.023974876
160	0x300	44	00 03 5a 58 09 93 fa 53 bb 98	1745789173.153286925
161	0x300	78	00 03 5a 78 9c 93 60 e0 64 32	1745789173.290928173
162	0x1500	18	00 15 a5 02 35 61 78 00 00 00	1745789173.318393714
163	0x300	44	00 03 5a 58 09 93 fa 53 7b 8a	1745789173.474604391
169	0x4553	35	53 45 41 52 43 48 20 42 53 44	1745789173.521035647
172	0xa5fc	29	fc a5 7d ca 00 00 00 00 00 01	1745789173.622819217
173	0x300	41	00 03 5a 58 09 93 fa 53 7b 8a	1745789173.660550294
174	0x300	43	00 03 5a 58 09 93 fa 53 7b 92	1745789173.687524322
185	0xd00	403	00 0d 5a 78 9c 55 d0 4d 28 a4	1745789174.126157526
186	0xd00	414	00 0d 5a 78 9c 55 ce 4d 48 d3	1745789174.126386584
187	0x300	18	00 03 a5 04 00 15 02 36 04 00	1745789174.156269137
188	0x300	99	00 03 5a 78 9c 33 67 e0 65 b2	1745789174.289190046
189	0x1500	18	00 15 a5 02 38 1d c5 00 00 00	1745789174.317892357
192	0x900	13	00 09 a5 02 39 5d 07 38 01 00	1745789174.520987209
193	0x300	65	00 03 5a 58 09 63 61 10 65 b2	1745789174.558028322
194	0x300	60	00 03 5a 58 09 e3 62 e0 64 96	1745789174.575216995
195	0xa5fc	29	fc a5 7d a3 00 00 00 00 d0 48	1745789174.622992615
196	0x300	44	00 03 5a 58 09 93 fa 53 bb 98	1745789174.687048471
197	0x1500	7	00 15 a5 03 1f 99 ef	1745789174.725341066
204	0xa5fc	29	fc a5 7d c9 00 00 00 00 40 67	1745789174.880319601
205	0xa5fc	29	fc a5 7d a2 00 00 00 00 40 1a	1745789174.91239618
206	0xa5fc	29	fc a5 7d c9 00 00 00 00 40 67	1745789174.944560559
211	0xa5fc	29	fc a5 7d b2 00 00 00 00 60 4d	1745789175.041961639
212	0x300	162	00 03 5a 78 9c 5b c0 c0 c9 64	1745789175.310871032
213	0x300	18	00 03 a5 04 00 15 02 3a 04 00	1745789175.333522187
214	0x300	37	00 03 a5 05 b1 37 bc 00 64 0a	1745789175.349903012
215	0x300	31	00 03 a5 0a 00 09 03 20 72 02	1745789175.364640433
218	0x1500	7	00 15 a5 03 21 84 44	1745789175.517663291
219	0xa5fc	29	fc a5 7d a3 00 00 00 00 40 4c	1745789175.702422438
220	0xa5fc	29	fc a5 7d b0 00 00 00 00 f0 45	1745789175.767302215
221	0x300	65	00 03 5a 58 09 93 fa 53 bb 98	1745789175.832260002
222	0xa5fc	51	fc a5 7d 68 15 38 01 00 00 00	1745789175.904908198
223	0x300	71	00 03 5a 58 09 93 fa 53 bb 89	1745789175.961762616
224	0xa5fc	29	fc a5 7d b0 00 00 00 00 10 46	1745789175.992806169
225	0x300	64	00 03 5a 58 09 93 fa 53 bb 87	1745789176.090160878
226	0x300	79	00 03 a5 30 fc 7d 7c 15 38 01	1745789176.19554136
227	0x1500	18	00 15 a5 02 3c d9 dc 00 00 00	1745789176.219537612
228	0x100	37	00 01 00 00 00 01 00 00 00 00	1745789176.386476593
229	0xa5fc	29	fc a5 7d a3 00 00 00 00 70 4e	1745789176.445079186
230	0x4553	35	53 45 41 52 43 48 20 42 53 44	1745789176.488817244
